data_size,row_nmi_value,col_nmi_value,seed,categories_row_num,categories_col_num,categories_row,categories_col,execution_time
200x300,0.0,0.03647035634409097,0,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",81.98
200x300,0.0,0.03647035634409097,1,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",83.27
200x300,0.0,0.03647035634409097,2,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",82.68
200x300,0.0,0.03647035634409097,3,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",83.32
200x300,0.0,0.03647035634409097,4,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",83.45
200x300,0.0,0.03647035634409097,5,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",84.82
200x300,0.0,0.03647035634409097,6,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",83.51
200x300,0.0,0.03647035634409097,7,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",84.17
200x300,0.0,0.03647035634409097,8,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",91.31
200x300,0.0,0.03647035634409097,9,0,3,"([], [])","([2, 3, 4], [1, 7, 9], [0, 5, 8])",86.58
200x300,0.0,0.058217941999383335,0,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",86.24
200x300,0.0,0.058217941999383335,1,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",85.34
200x300,0.0,0.058217941999383335,2,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",85.58
200x300,0.670516855707196,0.7151211347283943,3,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",83.51
200x300,1.0,0.9393654487079499,4,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",85.14
200x300,0.0,0.058217941999383335,5,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",85.68
200x300,0.0,0.058217941999383335,6,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",86.20
200x300,0.0,0.058217941999383335,7,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",84.56
200x300,0.0,0.058217941999383335,8,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",85.70
200x300,0.0,0.058217941999383335,9,0,5,"([], [])","([2, 3, 4, 6, 10], [1, 7, 9, 11, 13], [0, 5, 8, 16, 17])",84.33
200x300,1.0,0.8224038248765037,0,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",85.98
200x300,1.0,0.8461156434503267,1,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",86.02
